name;party;num_bill
Jardine,Christine;LiberalDemocrat;92
Stephens,Chris;ScottishNationalParty;993
Williams,Hywel;PlaidCymru;214
Gibson,Patricia;ScottishNationalParty;249
Lamb,Norman;LiberalDemocrat;71
SavilleRoberts,Liz;PlaidCymru;359
Edwards,Jonathan;PlaidCymru;424
Lake,Ben;PlaidCymru;126
Brock,Deidre;ScottishNationalParty;178
Grady,Patrick;ScottishNationalParty;430
Campbell,MrRonnie;Labour;429
Shannon,Jim;DemocraticUnionistParty;2283
Glindon,Mary;Labour;148
Cameron,DrLisa;ScottishNationalParty;201
Grant,Peter;ScottishNationalParty;109
Hosie,Stewart;ScottishNationalParty;59
Chapman,Douglas;ScottishNationalParty;218
Monaghan,Carol;ScottishNationalParty;310
Robinson,Gavin;DemocraticUnionistParty;323
Campbell,MrGregory;DemocraticUnionistParty;213
Simpson,David;DemocraticUnionistParty;506
Girvan,Paul;DemocraticUnionistParty;106
Blackman,Bob;Conservative;314
Vaz,Keith;Labour;238
Linden,David;ScottishNationalParty;353
Cunningham,MrJim;Labour;519
Hermon,Lady;Independent;103
Howarth,MrGeorge;Labour;49
Bruce,Fiona;Conservative;55
Brake,Tom;LiberalDemocrat;123
Williams,DrPaul;Labour;3
Sobel,Alex;Labour;34
Hill,Mike;Labour;43
Mann,John;Labour;88
Field,Frank;Independent;27
Cherry,Joanna;ScottishNationalParty;76
Gaffney,Hugh;Labour;110
West,Catherine;Labour;51
Killen,Ged;Labour;7
DentCoad,Emma;Labour;7
Morris,Grahame;Labour;173
Day,Martyn;ScottishNationalParty;954
Cowan,Ronnie;ScottishNationalParty;180
Thewliss,Alison;ScottishNationalParty;472
McNally,John;ScottishNationalParty;204
O'Hara,Brendan;ScottishNationalParty;248
Newlands,Gavin;ScottishNationalParty;242
McDonald,StuartC.;ScottishNationalParty;169
Law,Chris;ScottishNationalParty;452
Lucas,Caroline;GreenParty;349
Davey,SirEdward;LiberalDemocrat;40
Western,Matt;Labour;30
Lloyd,Stephen;LiberalDemocrat;38
Cable,SirVince;LiberalDemocrat;8
George,Ruth;Labour;44
Amess,SirDavid;Conservative;41
Charalambous,Bambos;Labour;5
Davies,Geraint;Labour;37
Moran,Layla;LiberalDemocrat;54
Jones,GrahamP;Labour;16
Bottomley,SirPeter;Conservative;1029
Gapes,Mike;Labour;53
Crausby,SirDavid;Labour;32
Paisley,Ian;DemocraticUnionistParty;94
Dodds,Nigel;DemocraticUnionistParty;38
Donaldson,SirJeffreyM.;DemocraticUnionistParty;89
Russell-Moyle,Lloyd;Labour;68
Wilson,Sammy;DemocraticUnionistParty;54
Dakin,Nic;Labour;9
LittlePengelly,Emma;DemocraticUnionistParty;37
Farron,Tim;LiberalDemocrat;166
Berger,Luciana;Labour;16
Sharma,MrVirendra;Labour;146
Hopkins,Kelvin;Independent;773
Doughty,Stephen;Labour;51
Blackford,Ian;ScottishNationalParty;204
Whitford,DrPhilippa;ScottishNationalParty;143
Swinson,Jo;LiberalDemocrat;21
Brown,Alan;ScottishNationalParty;344
Crawley,Angela;ScottishNationalParty;179
Wishart,Pete;ScottishNationalParty;51
Hendry,Drew;ScottishNationalParty;261
Fellows,Marion;ScottishNationalParty;146
Hobhouse,Wera;LiberalDemocrat;19
Gethins,Stephen;ScottishNationalParty;194
Twist,Liz;Labour;14
Evans,Chris;Labour;10
McDonald,StewartMalcolm;ScottishNationalParty;267
Malhotra,Seema;Labour;13
Whitfield,Martin;Labour;21
Blackman,Kirsty;ScottishNationalParty;110
Halfon,Robert;Conservative;135
Godsiff,MrRoger;Labour;178
Lammy,MrDavid;Labour;51
Cryer,John;Labour;56
Streeting,Wes;Labour;67
Reeves,Ellie;Labour;8
Williamson,Chris;Labour;46
Fitzpatrick,Jim;Labour;62
McKinnell,Catherine;Labour;18
McGinn,Conor;Labour;25
Pound,Stephen;Labour;9
Hendrick,SirMark;Labour;7
Penning,SirMike;Conservative;73
Austin,Ian;Labour;14
Reynolds,Emma;Labour;7
Goldsmith,Zac;Conservative;24
Marsden,Gordon;Labour;13
Farrelly,Paul;Labour;18
Green,Kate;Labour;23
Double,Steve;Conservative;1
MacNeil,AngusBrendan;ScottishNationalParty;218
Bryant,Chris;Labour;2
Carmichael,MrAlistair;LiberalDemocrat;70
Evans,MrNigel;Conservative;72
Kawczynski,Daniel;Conservative;13
Tredinnick,David;Conservative;6
Hayes,Helen;Labour;26
Timms,Stephen;Labour;13
Cunningham,Alex;Labour;37
Lefroy,Jeremy;Conservative;21
Sheppard,Tommy;ScottishNationalParty;94
Grogan,John;Labour;16
Lucas,IanC.;Labour;18
Barron,SirKevin;Labour;5
Syms,SirRobert;Conservative;2
Zeichner,Daniel;Labour;25
Shelbrooke,Alec;Conservative;3
Turley,Anna;Labour;9
Efford,Clive;Labour;14
Hollern,Kate;Labour;21
Buck,MsKaren;Labour;7
Reeves,Rachel;Labour;6
Eagle,Maria;Labour;9
Eagle,MsAngela;Labour;10
Ellman,DameLouise;Labour;2
Smeeth,Ruth;Labour;52
Phillips,Jess;Labour;24
Lynch,Holly;Labour;6
Snell,Gareth;Labour;12
Sheerman,MrBarry;Labour;46
Grant,Bill;Conservative;8
Daby,Janet;Labour;1
Allen,Heidi;Conservative;2
McGovern,Alison;Labour;12
Twigg,Stephen;Labour;21
Smith,Laura;Labour;10
Docherty-Hughes,Martin;ScottishNationalParty;182
Rimmer,MsMarie;Labour;56
Madders,Justin;Labour;12
Hoey,Kate;Labour;65
Stevens,Jo;Labour;56
Skinner,MrDennis;Labour;156
Gray,Neil;ScottishNationalParty;165
Francois,MrMark;Conservative;1
Coaker,Vernon;Labour;12
Mercer,Johnny;Conservative;1
Masterton,Paul;Conservative;36
Abrahams,Debbie;Labour;14
O'Mara,Jared;Independent;6
Clwyd,Ann;Labour;64
Bardell,Hannah;ScottishNationalParty;207
Martin,Sandy;Labour;32
Lewell-Buck,MrsEmma;Labour;12
Mearns,Ian;Labour;181
Elliott,Julie;Labour;4
Nandy,Lisa;Labour;37
Cadbury,Ruth;Labour;17
Wilson,Phil;Labour;6
Onn,Melanie;Labour;11
Hardy,Emma;Labour;6
Lee,Karen;Labour;2
Black,Mhairi;ScottishNationalParty;80
Maskell,Rachael;Labour;37
Rashid,Faisal;Labour;6
Fovargue,Yvonne;Labour;7
Brabin,Tracy;Labour;3
Lewer,Andrew;Conservative;2
Powell,Lucy;Labour;9
Smith,Owen;Labour;7
Owen,Albert;Labour;22
Kerr,Stephen;Conservative;15
Stone,Jamie;LiberalDemocrat;10
Blunt,Crispin;Conservative;15
Sweeney,MrPaul;Labour;8
Sherriff,Paula;Labour;24
Vickers,Martin;Conservative;17
Bone,MrPeter;Conservative;4
Rosindell,Andrew;Conservative;53
Walker,Thelma;Labour;30
Corbyn,Jeremy;Labour;417
Hayman,Sue;Labour;5
Drew,DrDavid;Labour;12
Dowd,Peter;Labour;7
Vaz,Valerie;Labour;64
Brown,MrNicholas;Labour;31
Knight,SirGreg;Conservative;12
Spellar,John;Labour;18
Chope,SirChristopher;Conservative;1
Yasin,Mohammad;Labour;7
Antoniazzi,Tonia;Labour;12
Hepburn,MrStephen;Labour;31
Burden,Richard;Labour;13
Soames,SirNicholas;Conservative;12
Cooper,Rosie;Labour;32
Hodge,DameMargaret;Labour;7
Stringer,Graham;Labour;36
Hanson,David;Labour;8
Harman,MsHarriet;Labour;18
Pearce,Teresa;Labour;20
Henderson,Gordon;Conservative;17
Mitchell,MrAndrew;Conservative;8
Dhesi,MrTanmanjeetSingh;Labour;5
Slaughter,Andy;Labour;35
Murray,Ian;Labour;31
Smith,Angela;Labour;14
Djanogly,MrJonathan;Conservative;3
Neill,Robert;Conservative;4
McMahon,Jim;Labour;1
Thomas,Gareth;Labour;20
McDonagh,Siobhain;Labour;16
Ryan,Joan;Labour;20
Goodwill,MrRobert;Conservative;1
Swayne,SirDesmond;Conservative;2
Morris,David;Conservative;45
Letwin,SirOliver;Conservative;2
Flynn,Paul;Labour;252
Metcalfe,Stephen;Conservative;23
Perkins,Toby;Labour;9
Bellingham,SirHenry;Conservative;9
McMorrin,Anna;Labour;8
Davies,DavidT.C.;Conservative;19
Aldous,Peter;Conservative;16
Spelman,DameCaroline;Conservative;9
Rayner,Angela;Labour;22
LongBailey,Rebecca;Labour;16
Lewis,DrJulian;Conservative;61
Main,MrsAnne;Conservative;15
Lavery,Ian;Labour;163
McCabe,Steve;Labour;17
Davies,Glyn;Conservative;6
Norris,Alex;Labour;2
Woodcock,John;Independent;3
Bowie,Andrew;Conservative;1
Redwood,John;Conservative;1
Duffield,Rosie;Labour;6
DeCordova,Marsha;Labour;4
Ellman,MrsLouise;Labour;12
Amesbury,Mike;Labour;5
Creagh,Mary;Labour;13
Huq,DrRupa;Labour;11
Brennan,Kevin;Labour;4
Ali,Rushanara;Labour;7
Mahmood,Shabana;Labour;2
Jarvis,Dan;Labour;7
Lord,MrJonathan;Conservative;2
Abbott,MsDiane;Labour;36
Khan,Afzal;Labour;2
Frith,James;Labour;2
Gill,PreetKaur;Labour;3
Cruddas,Jon;Labour;9
Benn,Hilary;Labour;6
Bacon,MrRichard;Conservative;2
