Name,Number of Edges,Number of Vertices,Clustering Coefficient,Average Degree,Average Excess Degree,Average Distance,Size of LCC,Number of CC
net_dkEconomy,595,196,0.2920109973532029,6.071428571428571,10.652252252252254,3.6885923600209316,196,1
net_dkEnvironment,313,144,0.3035790132374084,4.347222222222221,9.44122965641953,4.290351578106272,142,2
net_dkHousing,50,44,0.10043290043290044,2.2727272727272725,3.9333333333333336,2.0346534653465347,16,6
net_dkCulture,87,61,0.1990221982025261,2.8524590163934427,4.951048951048951,4.910630841121495,59,2
net_dkJustice,542,181,0.3196022024041611,5.988950276243094,11.6572265625,3.3977900552486187,181,1
net_dkImmigration,212,106,0.22321686052263187,4.000000000000001,7.902964959568734,4.440372309482257,102,2
net_dkInstitutional,118,73,0.20021050218471653,3.232876712328767,5.99497487437186,3.698310539018504,71,2
net_dkWelfare,324,140,0.24620325136877064,4.628571428571428,8.803786574870912,3.7602139524297256,133,3
net_dkHealth,266,108,0.37005750925169567,4.925925925925926,8.167676767676767,3.988409652289569,103,2
net_dkAgriculture,114,82,0.21634930822992443,2.7804878048780486,6.190217391304348,4.283795493934142,68,4
net_dkForeign_Affairs,180,100,0.3027460027185091,3.6,8.109677419354838,3.2218103181958604,79,3
net_dkTechnology,80,57,0.3180119101171733,2.807017543859649,4.835820895522389,2.973384030418251,39,4
net_dkEducation,273,126,0.3468225366112347,4.333333333333333,9.241869918699187,5.1978819969742815,115,2
