Name,Number of Edges,Number of Vertices,Clustering Coefficient,Average Degree,Average Excess Degree,Average Distance,Size of LCC,Number of CC
net_ch_cs1995-1999,146,51,0.6087801269173818,5.7254901960784315,15.704626334519574,1.9552941176470588,51,1
net_ch_cs2003-2007,244,47,0.6001334831289589,10.382978723404255,14.085062240663902,1.8612395929694727,47,1
net_ch_cs2011-2015,111,44,0.4727075467868307,5.045454545454546,10.427906976744186,2.204016913319239,44,1
net_ch_cs1999-2003,272,48,0.5632130995736061,11.333333333333332,17.788888888888888,1.8608156028368794,48,1
net_ch_cs2007-2011,155,50,0.498403772102326,6.2,11.516447368421053,2.1110204081632653,50,1
net_ch_cn2003-2007,3358,224,0.5968195389672645,29.982142857142858,48.214232321722235,1.972573670723895,224,1
net_ch_cn1999-2003,3253,211,0.6124869374271042,30.834123222748815,51.88407584399568,1.9094561047167682,211,1
net_ch_cn2007-2011,4128,220,0.5434071970800385,37.52727272727273,52.923161227471994,1.8936488169364882,220,1
net_ch_cn2011-2015,3436,226,0.4727328389872293,30.4070796460177,45.3195378765721,1.9496165191740413,226,1
net_ch_cn1995-1999,1893,219,0.5896053827518767,17.28767123287671,34.56547144754316,2.350927904151481,219,1
